POSTCODE,TOTAL_HOUSEHOLD_COUNT,STATE,DOMINANT_MOSAIC_GROUP,DOMINANT_MOSAIC_TYPE,MOSAIC_GROUP_A,MOSAIC_GROUP_B,MOSAIC_GROUP_C,MOSAIC_GROUP_D,MOSAIC_GROUP_E,MOSAIC_GROUP_F,MOSAIC_GROUP_G,MOSAIC_GROUP_H,MOSAIC_GROUP_I,MOSAIC_GROUP_J,MOSAIC_GROUP_K,MOSAIC_GROUP_L,MOSAIC_GROUP_M,MOSAIC_GROUP_N,MOSAIC_TYPE_A01,MOSAIC_TYPE_A02,MOSAIC_TYPE_A03,MOSAIC_TYPE_A04,MOSAIC_TYPE_B05,MOSAIC_TYPE_B06,MOSAIC_TYPE_B07,MOSAIC_TYPE_C08,MOSAIC_TYPE_C09,MOSAIC_TYPE_C10,MOSAIC_TYPE_D11,MOSAIC_TYPE_D12,MOSAIC_TYPE_D13,MOSAIC_TYPE_E14,MOSAIC_TYPE_E15,MOSAIC_TYPE_E16,MOSAIC_TYPE_F17,MOSAIC_TYPE_F18,MOSAIC_TYPE_F19,MOSAIC_TYPE_F20,MOSAIC_TYPE_G21,MOSAIC_TYPE_G22,MOSAIC_TYPE_G23,MOSAIC_TYPE_G24,MOSAIC_TYPE_H25,MOSAIC_TYPE_H26,MOSAIC_TYPE_H27,MOSAIC_TYPE_I28,MOSAIC_TYPE_I29,MOSAIC_TYPE_I30,MOSAIC_TYPE_J31,MOSAIC_TYPE_J32,MOSAIC_TYPE_J33,MOSAIC_TYPE_J34,MOSAIC_TYPE_J35,MOSAIC_TYPE_K36,MOSAIC_TYPE_K37,MOSAIC_TYPE_K38,MOSAIC_TYPE_K39,MOSAIC_TYPE_K40,MOSAIC_TYPE_L41,MOSAIC_TYPE_L42,MOSAIC_TYPE_L43,MOSAIC_TYPE_L44,MOSAIC_TYPE_M45,MOSAIC_TYPE_M46,MOSAIC_TYPE_M47,MOSAIC_TYPE_M48,MOSAIC_TYPE_N49,MOSAIC_TYPE_N50,MOSAIC_TYPE_N51,MOSAIC_TYPE_N52
2750,21894,NSW,F,F17,274,175,753,1311,697,4934,1842,1845,2483,3227,79,135,2103,2036,0,30,244,0,7,0,168,81,473,199,951,121,239,233,249,215,2630,146,2032,126,24,1412,406,0,34,1528,283,23,803,1657,928,699,677,838,85,11,11,39,4,14,5,0,0,130,1462,579,48,14,151,424,789,672
2752,2416,NSW,E,E14,194,0,0,591,678,416,0,36,27,226,79,133,36,0,0,0,194,0,0,0,0,0,0,0,481,0,110,678,0,0,6,197,213,0,0,0,0,0,0,36,0,0,27,0,0,168,0,58,0,0,79,0,0,0,16,116,0,1,36,0,0,0,0,0,0,0
2753,7101,NSW,D,D11,567,0,0,1583,182,1177,45,200,600,829,200,569,640,509,0,0,567,0,0,0,0,0,0,0,986,0,597,182,0,0,94,467,616,0,0,0,45,0,0,200,0,0,492,108,21,422,0,386,0,0,79,32,89,0,89,131,0,349,201,181,251,7,243,181,81,4
2754,3398,NSW,E,E14,196,0,0,510,722,478,0,85,120,326,84,292,352,233,1,0,195,0,0,0,0,0,0,0,224,0,286,722,0,0,13,132,333,0,0,0,0,0,2,83,0,1,119,0,0,225,0,39,62,0,50,0,33,1,31,15,0,246,258,35,59,0,24,0,209,0
2756,13456,NSW,F,F19,1679,0,58,2210,710,4169,49,812,453,985,115,904,1026,286,0,0,1679,0,0,0,0,57,1,0,1258,0,952,710,0,0,185,1384,2600,0,0,0,49,0,159,648,5,0,407,46,12,582,46,244,101,8,45,62,0,0,359,308,21,216,418,349,258,1,14,252,0,20
2757,367,NSW,D,A03,99,0,0,129,0,57,0,0,0,0,0,77,5,0,0,0,99,0,0,0,0,0,0,0,69,0,60,0,0,0,0,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,39,0,5,0,0,0,0,0,0
2758,3444,NSW,D,A03,920,0,0,1548,49,24,0,0,0,2,5,658,234,4,0,0,920,0,0,0,0,0,0,0,646,0,902,49,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,131,307,6,214,147,36,37,14,4,0,0,0
2759,8494,NSW,F,F17,0,0,372,851,255,5766,0,536,0,126,1,91,496,0,0,0,0,0,0,0,0,24,32,316,834,0,17,171,84,0,2624,199,2621,322,0,0,0,0,72,209,255,0,0,0,74,52,0,0,0,0,1,0,0,0,0,0,0,91,283,213,0,0,0,0,0,0
2760,14089,NSW,H,H26,0,0,39,0,2422,1201,51,5833,421,3220,2,32,59,809,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1978,444,616,13,136,436,0,0,51,0,1440,2467,1926,1,138,282,1318,651,824,293,134,0,0,2,0,0,0,0,0,32,59,0,0,0,1,99,250,459
2761,10650,NSW,F,E15,104,0,1607,226,2623,4159,5,1695,0,110,0,0,22,99,0,104,0,0,0,0,0,1426,31,150,221,5,0,0,2610,13,2049,1,353,1756,0,0,5,0,176,306,1213,0,0,0,104,5,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,99,0
2762,10060,NSW,E,E15,0,3,2284,67,6546,523,275,69,62,71,0,4,156,0,0,0,0,0,0,0,3,1943,261,80,47,0,20,6,4260,2280,258,5,197,63,8,258,9,0,1,53,15,57,5,0,70,1,0,0,0,0,0,0,0,0,0,1,0,3,14,140,2,0,0,0,0,0
2763,11540,NSW,E,E15,126,22,3847,430,4056,1986,7,428,117,413,0,0,8,100,0,126,0,0,22,0,0,2720,677,450,205,225,0,18,3558,480,1248,0,230,508,0,0,7,0,20,0,408,115,2,0,316,0,97,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,100
2765,24944,NSW,E,E15,978,0,4607,830,14014,2098,61,214,14,264,5,430,1037,392,4,23,951,0,0,0,0,3784,408,415,392,25,413,1065,12923,26,703,31,1228,136,0,0,61,0,57,143,14,0,13,1,110,26,96,3,29,0,2,1,0,2,2,213,0,215,85,933,16,3,35,41,316,0
2766,5198,NSW,F,E15,0,0,356,100,1346,1763,2,1127,0,155,0,0,42,307,0,0,0,0,0,0,0,143,3,210,69,31,0,0,1157,189,794,0,82,887,0,0,2,0,94,186,847,0,0,0,91,63,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,203,104
2767,7496,NSW,F,E15,118,0,1462,407,1193,1781,74,1058,1,970,0,0,58,374,0,79,39,0,0,0,0,710,0,752,231,176,0,0,1055,138,625,0,103,1053,0,0,74,0,15,126,917,1,0,0,302,0,590,0,78,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0,31,343
2768,8806,NSW,C,C08,746,18,6503,461,495,206,0,0,0,0,0,0,0,377,42,704,0,0,18,0,0,5925,202,376,118,343,0,0,392,103,114,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0
2769,5441,NSW,C,C08,106,0,4377,2,673,0,0,0,0,0,0,0,0,283,0,106,0,0,0,0,0,4356,21,0,0,2,0,0,670,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0
2770,21001,NSW,H,H27,0,0,139,262,1309,2684,37,8498,0,7287,4,0,12,769,0,0,0,0,0,0,0,7,18,114,224,0,38,0,630,679,745,0,133,1806,0,35,2,0,249,3506,4743,0,0,0,811,367,3936,233,1940,0,0,0,0,4,0,0,0,0,2,10,0,0,0,191,67,511
2773,2150,NSW,A,A03,1053,0,356,507,0,22,0,0,4,0,0,4,189,15,32,78,887,56,0,0,0,36,320,0,164,171,172,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,148,35,0,15,0,0,0
2774,4858,NSW,D,D13,435,0,860,1266,241,643,0,0,69,177,0,201,961,5,0,0,435,0,0,0,0,80,763,17,231,65,970,241,0,0,180,36,427,0,0,0,0,0,0,0,0,0,69,0,26,76,0,48,27,0,0,0,0,0,5,66,0,130,511,421,29,0,0,0,0,5
2775,1098,NSW,L,L42,0,0,0,9,0,0,0,0,20,39,178,512,170,170,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,38,0,1,0,0,0,30,0,148,0,385,16,111,55,27,57,31,110,60,0,0
2776,1577,NSW,D,D13,163,0,185,493,92,179,0,0,20,32,10,114,289,0,0,0,162,1,0,0,0,18,167,0,78,0,415,92,0,0,0,0,179,0,0,0,0,0,0,0,0,0,20,0,0,32,0,0,0,0,10,0,0,0,56,0,0,58,196,93,0,0,0,0,0,0
2777,6791,NSW,D,D13,439,0,334,1988,108,1055,0,0,137,153,24,463,1717,373,0,9,430,0,0,0,0,33,292,9,346,7,1635,108,0,0,48,147,860,0,0,0,0,0,0,0,0,0,107,30,0,105,0,48,0,0,6,0,18,0,194,110,0,159,720,814,160,23,61,0,312,0
2778,1044,NSW,M,M45,28,0,41,204,0,141,0,0,2,4,8,248,368,0,0,0,28,0,0,0,0,0,41,0,3,0,201,0,0,0,19,27,95,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,5,79,115,0,54,237,66,64,1,0,0,0,0
2779,2160,NSW,M,M45,9,0,61,270,3,404,0,22,112,77,82,398,700,22,0,0,9,0,0,0,0,0,61,0,100,0,170,3,0,0,12,92,300,0,0,0,0,0,22,0,0,0,112,0,14,47,0,16,0,0,42,0,40,0,120,12,0,266,433,155,112,0,0,22,0,0
2780,7734,NSW,M,M47,370,0,65,206,0,91,44,3,502,1046,258,696,3387,1066,0,0,29,341,0,0,0,0,65,0,27,10,169,0,0,0,0,0,91,0,0,1,43,0,0,3,0,0,457,45,2,755,0,289,0,0,57,82,56,63,40,94,0,562,508,786,1195,898,434,473,128,31
2782,3178,NSW,M,M47,309,0,0,212,18,169,0,0,13,106,57,585,1650,59,0,0,37,272,0,0,0,0,0,0,27,0,185,18,0,0,0,12,157,0,0,0,0,0,0,0,0,0,13,0,0,106,0,0,0,0,25,0,24,8,14,233,1,337,202,452,610,386,59,0,0,0
2783,1262,NSW,M,M47,0,0,6,28,1,107,0,36,76,45,76,251,565,71,0,0,0,0,0,0,0,0,6,0,20,0,8,1,0,0,30,9,68,0,0,0,0,0,0,36,0,0,76,0,0,11,0,34,0,0,68,0,8,0,3,78,0,170,148,117,299,1,18,52,0,1
2784,609,NSW,L,L44,64,0,0,48,0,89,0,0,74,2,10,166,156,0,0,0,64,0,0,0,0,0,0,0,0,0,48,0,0,0,0,17,72,0,0,0,0,0,0,0,0,0,74,0,0,2,0,0,0,0,10,0,0,0,19,31,0,116,19,18,112,7,0,0,0,0
2785,3053,NSW,M,M48,169,0,11,22,0,102,0,0,90,75,57,825,1395,307,0,0,55,114,0,0,0,0,11,0,0,0,22,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,90,0,0,75,0,0,0,0,1,0,0,56,0,317,1,507,275,40,521,559,217,90,0,0
2786,885,NSW,M,M47,81,0,0,2,0,0,0,0,95,27,84,280,303,13,0,0,0,81,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,82,0,0,25,0,2,0,0,18,6,2,58,0,121,5,154,31,1,174,97,13,0,0,0
2787,2010,NSW,L,L42,5,0,0,2,0,24,0,5,0,211,769,791,36,167,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,6,0,0,0,0,0,0,5,0,0,0,0,0,45,0,19,147,48,117,252,229,123,52,341,308,90,15,0,19,2,6,161,0,0
2790,7640,NSW,K,N50,27,0,0,386,216,112,0,43,3,1397,1873,1259,574,1750,0,0,27,0,0,0,0,0,0,0,152,0,234,216,0,0,0,98,14,0,0,0,0,0,0,43,0,0,3,0,0,418,0,613,366,0,402,198,988,285,298,778,60,123,356,4,183,31,188,1323,236,3
2791,361,NSW,L,L42,0,0,0,0,0,0,0,0,0,0,3,266,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,205,60,0,0,0,4,0,0,88,0,0
